,Date,Team,Name,Injury
988,11/07/2022,BOS,JD Davison,G League - Two-Way
989,11/07/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
990,11/07/2022,BOS,Luke Kornet,Personal Reasons
991,11/07/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
992,11/07/2022,MEM,Steven Adams,Injury/Illness - Right Ankle; Soreness
993,11/07/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
994,11/07/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
995,11/07/2022,MEM,Kenneth Lofton Jr.,G League - Two-Way
996,11/07/2022,MEM,Ziaire Williams,Injury/Illness - Right Patellar; Tendinitis
997,11/07/2022,MIN,Luka Garza,G League - Two-Way
998,11/07/2022,MIN,Rudy Gobert,Health and Safety Protocols
999,11/07/2022,MIN,Josh Minott,G League - On Assignment
1000,11/07/2022,MIN,Wendell Moore Jr.,G League - On Assignment
1001,11/07/2022,NYK,Quentin Grimes,Injury/Illness - Left Foot; sore
1002,11/07/2022,NYK,Feron Hunt,G League - Two-Way
1003,11/07/2022,NYK,Trevor Keels,G League - Two-Way
1004,11/07/2022,NYK,Mitchell Robinson,Injury/Illness - Right Knee; sprained
1005,11/07/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
1006,11/07/2022,DEN,Zeke Nnaji,Injury/Illness - Right Ankle; Sprain
1007,11/07/2022,DEN,Ish Smith,Injury/Illness - Right Calf; Strain
1008,11/07/2022,DEN,Peyton Watson,G League - On Assignment
1009,11/07/2022,DEN,Jack White,G League - Two-Way
1010,11/07/2022,SAS,Dominick Barlow,G League - Two-Way
1011,11/07/2022,SAS,Zach Collins,Injury/Illness - Left Lower Leg; Contusion
1012,11/07/2022,SAS,Jordan Hall,Injury/Illness - Left Plantar Fascia; Soreness
1013,11/07/2022,SAS,Romeo Langford,Injury/Illness - Left 5th Toe; Soreness
1014,11/07/2022,SAS,Blake Wesley,Injury/Illness - Left MCL; Sprain
1015,11/07/2022,BKN,Kessler Edwards,G League - On Assignment
1016,11/07/2022,BKN,Kyrie Irving,Team Suspension
1017,11/07/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
1018,11/07/2022,BKN,Alondes Williams,G League - Two-Way
1019,11/07/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
1020,11/07/2022,DAL,Frank Ntilikina,Injury/Illness - Right Ankle; Effusion
1021,11/07/2022,GSW,Donte DiVincenzo,Injury/Illness - Left Hamstring; Strain
1022,11/07/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
1023,11/07/2022,LAL,Patrick Beverley,Injury/Illness - Non-covid; Illness
1024,11/07/2022,LAL,Thomas Bryant,Injury/Illness - Left Ucl; Repair
1025,11/07/2022,LAL,LeBron James,Injury/Illness - Left Foot; Soreness
1026,11/07/2022,LAL,Dennis Schroder,Injury/Illness - Right Ucl; Repair
1027,11/07/2022,LAL,Cole Swider,G League - Two-Way
1028,11/07/2022,LAL,Lonnie Walker IV,Injury/Illness - Non-covid; Illness
1029,11/07/2022,UTA,Johnny Juzang,G League - Two-Way
1030,11/07/2022,UTA,Micah Potter,G League - Two-Way
1031,11/07/2022,UTA,Jarred Vanderbilt,Injury/Illness - Right adductor; Soreness
1032,11/07/2022,CLE,Isaiah Mobley,G League - Two-Way
1033,11/07/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
1034,11/07/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
1035,11/07/2022,LAC,Moussa Diabate,G League - Two-Way
1036,11/07/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
1037,11/07/2022,LAC,John Wall,Injury/Illness - Left Knee; Injury Management
1038,11/09/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
1039,11/09/2022,DAL,Tyler Dorsey,G League - Two-Way
1040,11/09/2022,DAL,Christian Wood,Injury/Illness - Left Knee; Sprain
1041,11/09/2022,DAL,McKinley Wright IV,G League - Two-Way
1042,11/09/2022,ORL,Cole Anthony,Injury/Illness - Right Internal Oblique; Tear
1043,11/09/2022,ORL,Paolo Banchero,Injury/Illness - Left Ankle; Sprain
1044,11/09/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
1045,11/09/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury recovery
1046,11/09/2022,ORL,Kevon Harris,Injury/Illness - Left Rib; Contusion
1047,11/09/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury recovery
1048,11/09/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
1049,11/09/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
1050,11/09/2022,DEN,Zeke Nnaji,Injury/Illness - Right Ankle; Sprain
1051,11/09/2022,DEN,Ish Smith,Injury/Illness - Right Calf; Strain
1052,11/09/2022,DEN,Peyton Watson,G League - On Assignment
1053,11/09/2022,DEN,Jack White,G League - Two-Way
1054,11/09/2022,IND,Kendall Brown,G League - Two-Way
1055,11/09/2022,IND,Chris Duarte,Injury/Illness - Left Ankle; Sprain
1056,11/09/2022,IND,Trevelin Queen,G League - Two-Way
1057,11/09/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Soreness
1058,11/09/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
1059,11/09/2022,CHA,Gordon Hayward,Injury/Illness - Left Shoulder; Contusion
1060,11/09/2022,CHA,Cody Martin,Injury/Illness - Left Quad; Soreness
1061,11/09/2022,POR,John Butler Jr.,Injury/Illness - Left Index finger; Soreness
1062,11/09/2022,POR,Jerami Grant,Injury/Illness - Left Ankle; Sprain
1063,11/09/2022,POR,Keon Johnson,Injury/Illness - Left Hip; Pointer
1064,11/09/2022,POR,Jusuf Nurkic,Injury/Illness - Right Adductor; Soreness
1065,11/09/2022,POR,Gary Payton II,Return to Competition Reconditioning
1066,11/09/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
1067,11/09/2022,BOS,JD Davison,G League - Two-Way
1068,11/09/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
1069,11/09/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
1070,11/09/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
1071,11/09/2022,DET,Buddy Boeheim,G League - Two-Way
1072,11/09/2022,DET,Alec Burks,Injury/Illness - Left Navicular; Fracture
1073,11/09/2022,DET,Braxton Key,G League - Two-Way
1074,11/09/2022,HOU,Darius Days,G League - Two-Way
1075,11/09/2022,HOU,Bruno Fernando,Injury/Illness - Left Knee; Soreness
1076,11/09/2022,HOU,Trevor Hudgins,G League - Two-Way
1077,11/09/2022,HOU,Jae'Sean Tate,Injury/Illness - Right Ankle; Soreness
1078,11/09/2022,TOR,Khem Birch,Injury/Illness - Right Knee; Soreness
1079,11/09/2022,TOR,Justin Champagnie,Injury/Illness - Back; Lower; soreness
1080,11/09/2022,TOR,Pascal Siakam,Injury/Illness - Right Adductor; Strain
1081,11/09/2022,BKN,Kyrie Irving,Team Suspension
1082,11/09/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
1083,11/09/2022,BKN,Yuta Watanabe,Injury/Illness - Left Ankle; Sprain
1084,11/09/2022,NYK,Feron Hunt,G League - Two-Way
1085,11/09/2022,NYK,Trevor Keels,G League - Two-Way
1086,11/09/2022,NYK,Mitchell Robinson,Injury/Illness - Right Knee; Sprained
1087,11/09/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
1088,11/09/2022,UTA,Ochai Agbaji,G League - On Assignment
1089,11/09/2022,UTA,Leandro Bolmaro,G League - On Assignment
1090,11/09/2022,UTA,Johnny Juzang,G League - Two-Way
1091,11/09/2022,UTA,Micah Potter,G League - Two-Way
1092,11/09/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
1093,11/09/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
1094,11/09/2022,MEM,Kenneth Lofton Jr.,G League - Two-Way
1095,11/09/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Patellar Tendinitis
1096,11/09/2022,SAS,Dominick Barlow,G League - Two-Way
1097,11/09/2022,SAS,Malaki Branham,G League - On Assignment
1098,11/09/2022,SAS,Zach Collins,Injury/Illness - Left Fibula; Non-displaced head fracture
1099,11/09/2022,SAS,Blake Wesley,Injury/Illness - Left MCL; Sprain
1100,11/09/2022,MIL,Giannis Antetokounmpo,Injury/Illness - Left Knee; Soreness
1101,11/09/2022,MIL,Pat Connaughton,Injury/Illness - Right Calf; Strain
1102,11/09/2022,MIL,A.J. Green,Injury/Illness - Nasal; Fracture surgery
1103,11/09/2022,MIL,Jrue Holiday,Injury/Illness - Right Ankle; Sprain
1104,11/09/2022,MIL,Joe Ingles,Injury/Illness - Left Knee; ACL surgery
1105,11/09/2022,MIL,Khris Middleton,Injury/Illness - Left Wrist; Ligament surgery
1106,11/09/2022,OKC,Ousmane Dieng,G League - On Assignment
1107,11/09/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
1108,11/09/2022,OKC,Eugene Omoruyi,G League - Two-Way
1109,11/09/2022,OKC,Lindy Waters III,G League - Two-Way
1110,11/09/2022,OKC,Jaylin Williams,G League - On Assignment
1111,11/09/2022,CHI,Kostas Antetokounmpo,G League - Two-Way
1112,11/09/2022,CHI,Lonzo Ball,Injury/Illness - Left Knee; Surgery
1113,11/09/2022,CHI,Marko Simonovic,G League - On Assignment
1114,11/09/2022,CHI,Coby White,Injury/Illness - Left Quadricep; Contusion
1115,11/09/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
1116,11/09/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
1117,11/09/2022,NOP,Larry Nance Jr.,Injury/Illness - Left Knee; Hyperextension
1118,11/09/2022,NOP,Dereon Seabron,G League - Two-Way
1119,11/09/2022,NOP,Garrett Temple,Personal Reasons
1120,11/09/2022,MIN,Luka Garza,G League - Two-Way
1121,11/09/2022,MIN,Josh Minott,G League - On Assignment
1122,11/09/2022,MIN,Wendell Moore Jr.,G League - On Assignment
1123,11/09/2022,MIN,Austin Rivers,Injury/Illness - N/A; Illness
1124,11/09/2022,PHX,Jae Crowder,Not With Team
1125,11/09/2022,PHX,Cameron Johnson,Injury/Illness - Right Meniscus; Tear
1126,11/09/2022,PHX,Chris Paul,Injury/Illness - Right Heel; Soreness
1127,11/09/2022,PHX,Ish Wainright,Personal Reasons
1128,11/09/2022,CLE,Mamadi Diakite,G League - Two-Way
1129,11/09/2022,CLE,Isaiah Mobley,G League - Two-Way
1130,11/09/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
1131,11/09/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
1132,11/09/2022,LAC,Brandon Boston Jr.,G League - On Assignment
1133,11/09/2022,LAC,Moussa Diabate,G League - Two-Way
1134,11/09/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
1135,11/09/2022,LAC,Jason Preston,G League - On Assignment
1136,11/09/2022,LAL,Thomas Bryant,Injury/Illness - Left Ucl; Repair
1137,11/09/2022,LAL,Scotty Pippen Jr.,G League - Two-Way
1138,11/09/2022,LAL,Dennis Schroder,Injury/Illness - Right Ucl; Repair
1139,11/09/2022,LAL,Cole Swider,G League - Two-Way
1140,11/09/2022,LAL,Lonnie Walker IV,Injury/Illness - Non-covid; Illness
1141,11/10/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
1142,11/10/2022,DAL,Tyler Dorsey,G League - Two-Way
1143,11/10/2022,DAL,Christian Wood,Injury/Illness - Left Knee; Sprain
1144,11/10/2022,DAL,McKinley Wright IV,G League - Two-Way
1145,11/10/2022,WAS,Bradley Beal,Health and Safety Protocols
1146,11/10/2022,WAS,Vernon Carey Jr.,G League - On Assignment
1147,11/10/2022,WAS,Johnny Davis,G League - On Assignment
1148,11/10/2022,WAS,Taj Gibson,Injury/Illness - Neck; Cervical strain
1149,11/10/2022,WAS,Kristaps Porzingis,Injury/Illness - Left Groin; Left groin strain
1150,11/10/2022,WAS,Jordan Schakel,G League - Two-Way
1151,11/10/2022,WAS,Isaiah Todd,G League - On Assignment
1152,11/10/2022,WAS,Delon Wright,Injury/Illness - Right Hamstring; Right hamstring strain
1153,11/10/2022,CHA,LaMelo Ball,Injury/Illness - Left Ankle; Sprain
1154,11/10/2022,CHA,Gordon Hayward,Injury/Illness - Left Shoulder; Contusion
1155,11/10/2022,CHA,Cody Martin,Injury/Illness - Left Quad; Soreness
1156,11/10/2022,CHA,Bryce McGowens,G League - Two-Way
1157,11/10/2022,CHA,Mark Williams,G League - On Assignment
1158,11/10/2022,MIA,Jamal Cain,G League - Two-Way
1159,11/10/2022,MIA,Tyler Herro,Injury/Illness - Left Ankle; Sprain
1160,11/10/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
1161,11/10/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
1162,11/10/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
1163,11/10/2022,PHI,Julian Champagnie,G League - Two-Way
1164,11/10/2022,PHI,Michael Foster Jr.,G League - Two-Way
1165,11/10/2022,PHI,James Harden,Injury/Illness - Right Foot; Tendon Strain
1166,11/10/2022,PHI,Jaden Springer,G League - On Assignment
1167,11/10/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
1168,11/10/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
1169,11/10/2022,NOP,Dereon Seabron,G League - Two-Way
1170,11/10/2022,POR,Keon Johnson,Injury/Illness - Left Hip; Pointer
1171,11/10/2022,POR,Damian Lillard,Injury/Illness - Right Calf; Injury Management
1172,11/10/2022,POR,Jusuf Nurkic,Injury/Illness - Right Adductor; Soreness
1173,11/10/2022,POR,Gary Payton II,Return to Competition Reconditioning
1174,11/10/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
1175,11/10/2022,POR,Shaedon Sharpe,Injury/Illness - Right Finger; Sprain
1176,11/11/2022,BOS,Malcolm Brogdon,Injury/Illness - Right Hamstring; Tightness
1177,11/11/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
1178,11/11/2022,BOS,Mfiondu Kabengele,G League - Two-Way
1179,11/11/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
1180,11/11/2022,DEN,Collin Gillespie,Injury/Illness - Right Lower Leg; Fracture
1181,11/11/2022,DEN,Bones Hyland,Health and Safety Protocols
1182,11/11/2022,DEN,Ish Smith,Injury/Illness - Right Calf; Strain
1183,11/11/2022,DEN,Peyton Watson,G League - On Assignment
1184,11/11/2022,DEN,Jack White,G League - Two-Way
1185,11/11/2022,ORL,Cole Anthony,Injury/Illness - Right Internal Oblique; Tear
1186,11/11/2022,ORL,Paolo Banchero,Injury/Illness - Left Ankle; Sprain
1187,11/11/2022,ORL,Markelle Fultz,Injury/Illness - Left Big Toe; Fracture
1188,11/11/2022,ORL,Gary Harris,Injury/Illness - Left Knee; Injury recovery
1189,11/11/2022,ORL,Kevon Harris,Injury/Illness - Left Rib; Contusion
1190,11/11/2022,ORL,Jonathan Isaac,Injury/Illness - Left Knee; Injury recovery
1191,11/11/2022,ORL,Moritz Wagner,Injury/Illness - Right Midfoot; Sprain
1192,11/11/2022,PHX,Jae Crowder,Not With Team
1193,11/11/2022,PHX,Cameron Johnson,Injury/Illness - Right Meniscus; Tear
1194,11/11/2022,PHX,Chris Paul,Injury/Illness - Right Heel; Soreness
1195,11/11/2022,PHX,Landry Shamet,Injury/Illness - N/a; Concussion protocol
1196,11/11/2022,PHX,Ish Wainright,Personal Reasons
1197,11/11/2022,DET,Marvin Bagley III,Injury/Illness - Right Knee; Sprain
1198,11/11/2022,DET,Buddy Boeheim,G League - Two-Way
1199,11/11/2022,DET,Cade Cunningham,Injury/Illness - Left Shin; Soreness
1200,11/11/2022,DET,Braxton Key,G League - Two-Way
1201,11/11/2022,NYK,Feron Hunt,G League - Two-Way
1202,11/11/2022,NYK,Trevor Keels,G League - Two-Way
1203,11/11/2022,NYK,Mitchell Robinson,Injury/Illness - Right Knee; sprained
1204,11/11/2022,MIL,Giannis Antetokounmpo,Injury/Illness - Left Knee; Soreness
1205,11/11/2022,MIL,Pat Connaughton,Injury/Illness - Right Calf; Strain
1206,11/11/2022,MIL,A.J. Green,Injury/Illness - Nasal; Fracture surgery
1207,11/11/2022,MIL,Jrue Holiday,Injury/Illness - Right Ankle; Sprain
1208,11/11/2022,MIL,Joe Ingles,Injury/Illness - Left Knee; ACL surgery
1209,11/11/2022,MIL,Khris Middleton,Injury/Illness - Left Wrist; Ligament surgery
1210,11/11/2022,SAS,Dominick Barlow,G League - Two-Way
1211,11/11/2022,SAS,Malaki Branham,G League - On Assignment
1212,11/11/2022,SAS,Zach Collins,Injury/Illness - Left Fibula; Non-displaced head fracture
1213,11/11/2022,SAS,Blake Wesley,Injury/Illness - Left MCL; Sprain
1214,11/11/2022,OKC,Darius Bazley,Injury/Illness - Right Ankle; Sprain
1215,11/11/2022,OKC,Ousmane Dieng,G League - On Assignment
1216,11/11/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
1217,11/11/2022,OKC,Lindy Waters III,G League - Two-Way
1218,11/11/2022,OKC,Jaylin Williams,-
1219,11/11/2022,TOR,Precious Achiuwa,Injury/Illness - Right Ankle; Sprain
1220,11/11/2022,TOR,Khem Birch,Injury/Illness - Right Knee; Soreness
1221,11/11/2022,TOR,Justin Champagnie,G League - On Assignment
1222,11/11/2022,TOR,Jeff Dowtin Jr.,G League - Two-Way
1223,11/11/2022,TOR,Ron Harper Jr.,G League - Two-Way
1224,11/11/2022,TOR,Pascal Siakam,Injury/Illness - Right Adductor; Strain
1225,11/11/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
1226,11/11/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
1227,11/11/2022,MEM,Kenneth Lofton Jr.,G League - Two-Way
1228,11/11/2022,MEM,Ziaire Williams,Injury/Illness - Right Patellar; Tendinitis
1229,11/11/2022,MIN,Luka Garza,G League - Two-Way
1230,11/11/2022,MIN,Josh Minott,G League - On Assignment
1231,11/11/2022,MIN,Wendell Moore Jr.,G League - On Assignment
1232,11/11/2022,MIN,Naz Reid,Injury/Illness - N/A; Illness
1233,11/11/2022,CLE,Mamadi Diakite,G League - Two-Way
1234,11/11/2022,CLE,Isaiah Mobley,G League - Two-Way
1235,11/11/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
1236,11/11/2022,CLE,Dean Wade,Injury/Illness - Right Knee; Soreness
1237,11/11/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
1238,11/11/2022,GSW,Andre Iguodala,Injury/Illness - Left Hip; Injury Management
1239,11/11/2022,LAL,Thomas Bryant,Injury/Illness - Left Ucl; Repair
1240,11/11/2022,LAL,LeBron James,Injury/Illness - Left Adductor; Strain
1241,11/11/2022,LAL,Scotty Pippen Jr.,G League - Two-Way
1242,11/11/2022,LAL,Dennis Schroder,Injury/Illness - Right Ucl; Repair
1243,11/11/2022,LAL,Cole Swider,G League - Two-Way
1244,11/11/2022,SAC,Keon Ellis,G League - Two-Way
1245,11/11/2022,SAC,Chima Moneke,G League - On Assignment
1246,11/11/2022,SAC,Neemias Queta,G League - Two-Way
1247,11/12/2022,BKN,Kyrie Irving,Team Suspension
1248,11/12/2022,BKN,T.J. Warren,Injury/Illness - Left Foot; Injury Recovery
1249,11/12/2022,BKN,Yuta Watanabe,Injury/Illness - Left Ankle; Sprain
1250,11/12/2022,BKN,Alondes Williams,G League - Two-Way
1251,11/12/2022,LAC,Brandon Boston Jr.,G League - On Assignment
1252,11/12/2022,LAC,Moussa Diabate,G League - Two-Way
1253,11/12/2022,LAC,Kawhi Leonard,Injury/Illness - Right Knee; Injury Management
1254,11/12/2022,LAC,Jason Preston,G League - On Assignment
1255,11/12/2022,UTA,Ochai Agbaji,G League - On Assignment
1256,11/12/2022,UTA,Leandro Bolmaro,G League - On Assignment
1257,11/12/2022,UTA,Johnny Juzang,G League - Two-Way
1258,11/12/2022,UTA,Micah Potter,G League - Two-Way
1259,11/12/2022,WAS,Bradley Beal,Return to Competition Reconditioning
1260,11/12/2022,WAS,Johnny Davis,G League - On Assignment
1261,11/12/2022,WAS,Taj Gibson,Injury/Illness - Neck; Cervical soreness
1262,11/12/2022,WAS,Jordan Schakel,G League - Two-Way
1263,11/12/2022,WAS,Isaiah Todd,G League - On Assignment
1264,11/12/2022,WAS,Delon Wright,Injury/Illness - Right Hamstring; Right hamstring strain
1265,11/12/2022,BOS,Malcolm Brogdon,Injury/Illness - Right Hamstring; Tightness
1266,11/12/2022,BOS,Jaylen Brown,Injury/Illness - Left Knee; Contusion
1267,11/12/2022,BOS,JD Davison,G League - Two-Way
1268,11/12/2022,BOS,Danilo Gallinari,Injury/Illness - Left Knee; ACL Repair
1269,11/12/2022,BOS,Al Horford,Injury/Illness - Low Back; Stiffness
1270,11/12/2022,BOS,Mfiondu Kabengele,G League - Two-Way
1271,11/12/2022,BOS,Robert Williams III,Injury/Illness - Left Knee; Surgery
1272,11/12/2022,DET,Buddy Boeheim,G League - Two-Way
1273,11/12/2022,DET,Alec Burks,Return to Competition Reconditioning
1274,11/12/2022,DET,Cade Cunningham,Injury/Illness - Left Shin; Soreness
1275,11/12/2022,DET,Braxton Key,G League - Two-Way
1276,11/12/2022,IND,Kendall Brown,G League - Two-Way
1277,11/12/2022,IND,Chris Duarte,Injury/Illness - Left Ankle; Sprain
1278,11/12/2022,IND,James Johnson,Injury/Illness - Back; Soreness
1279,11/12/2022,IND,Trevelin Queen,G League - On Assignment
1280,11/12/2022,IND,Daniel Theis,Injury/Illness - Right Knee; Surgery
1281,11/12/2022,TOR,Precious Achiuwa,Injury/Illness - Right Ankle; Sprain
1282,11/12/2022,TOR,Khem Birch,Injury/Illness - Right Knee; Soreness
1283,11/12/2022,TOR,Justin Champagnie,G League - On Assignment
1284,11/12/2022,TOR,Ron Harper Jr.,G League - Two-Way
1285,11/12/2022,TOR,Pascal Siakam,Injury/Illness - Right Adductor; Strain
1286,11/12/2022,TOR,Fred VanVleet,Injury/Illness - Illness; Non-COVID
1287,11/12/2022,ATL,Bogdan Bogdanovic,Injury/Illness - Right Knee; Injury Recovery
1288,11/12/2022,ATL,Onyeka Okongwu,Personal Reasons
1289,11/12/2022,PHI,Julian Champagnie,G League - Two-Way
1290,11/12/2022,PHI,Michael Foster Jr.,G League - Two-Way
1291,11/12/2022,PHI,James Harden,Injury/Illness - Right Foot; Tendon Strain
1292,11/12/2022,PHI,De'Anthony Melton,Injury/Illness - Back; Left-Sided Stiffness
1293,11/12/2022,PHI,Jaden Springer,-
1294,11/12/2022,CHA,Gordon Hayward,Injury/Illness - Left Shoulder; Contusion
1295,11/12/2022,CHA,Cody Martin,Injury/Illness - Left Knee; Procedure
1296,11/12/2022,CHA,Bryce McGowens,G League - Two-Way
1297,11/12/2022,CHA,Dennis Smith Jr.,Injury/Illness - Left Ankle; Sprain
1298,11/12/2022,CHA,Mark Williams,G League - On Assignment
1299,11/12/2022,MIA,Tyler Herro,Injury/Illness - Left Ankle; Sprain
1300,11/12/2022,MIA,Victor Oladipo,Injury/Illness - Left Knee; Tendinosis
1301,11/12/2022,MIA,Dru Smith,G League - Two-Way
1302,11/12/2022,MIA,Omer Yurtseven,Injury/Illness - Left Ankle; Impingement
1303,11/12/2022,HOU,Darius Days,G League - Two-Way
1304,11/12/2022,HOU,Bruno Fernando,Injury/Illness - Left Knee; Soreness
1305,11/12/2022,HOU,Trevor Hudgins,G League - Two-Way
1306,11/12/2022,HOU,Jae'Sean Tate,Injury/Illness - Right Ankle; Soreness
1307,11/12/2022,HOU,TyTy Washington Jr.,G League - On Assignment
1308,11/12/2022,NOP,Kira Lewis Jr.,Injury/Illness - Right Knee; ACL Injury Recovery
1309,11/12/2022,NOP,E.J. Liddell,Injury/Illness - Right Knee; ACL Injury Recovery
1310,11/12/2022,NOP,Dereon Seabron,G League - Two-Way
1311,11/12/2022,DAL,Davis Bertans,Injury/Illness - Right Knee; Effusion
1312,11/12/2022,DAL,Tyler Dorsey,G League - Two-Way
1313,11/12/2022,DAL,Jaden Hardy,G League - On Assignment
1314,11/12/2022,DAL,McKinley Wright IV,G League - Two-Way
1315,11/12/2022,POR,Keon Johnson,Injury/Illness - Left Hip; Pointer
1316,11/12/2022,POR,Jusuf Nurkic,Injury/Illness - Right Hip; Adductor
1317,11/12/2022,POR,Gary Payton II,Return to Competition Reconditioning
1318,11/12/2022,POR,Olivier Sarr,Injury/Illness - Right Wrist; Sprain
1319,11/12/2022,POR,Justise Winslow,Injury/Illness - Illness; Non-Covid
1320,11/13/2022,NYK,Feron Hunt,G League - Two-Way
1321,11/13/2022,NYK,Trevor Keels,G League - Two-Way
1322,11/13/2022,NYK,Mitchell Robinson,Injury/Illness - Right Knee; sprained
1323,11/13/2022,OKC,Darius Bazley,Injury/Illness - Right Ankle; Sprain
1324,11/13/2022,OKC,Ousmane Dieng,G League - On Assignment
1325,11/13/2022,OKC,Chet Holmgren,Injury/Illness - Right Foot; Surgery
1326,11/13/2022,OKC,Eugene Omoruyi,G League - Two-Way
1327,11/13/2022,MEM,Desmond Bane,Injury/Illness - Right Toe; Soreness
1328,11/13/2022,MEM,Danny Green,Injury/Illness - Left Knee; Surgery Recovery
1329,11/13/2022,MEM,Jaren Jackson Jr.,Injury/Illness - Right Foot; Surgery Recovery
1330,11/13/2022,MEM,Kenneth Lofton Jr.,G League - Two-Way
1331,11/13/2022,MEM,Ja Morant,Injury/Illness - Left Ankle; Soreness
1332,11/13/2022,MEM,Ziaire Williams,Injury/Illness - Right Knee; Patellar Tendinitis
1333,11/13/2022,WAS,Bradley Beal,Return to Competition Reconditioning
1334,11/13/2022,WAS,Taj Gibson,Injury/Illness - Neck; Cervical strain
1335,11/13/2022,WAS,Delon Wright,Injury/Illness - Right Hamstring; Right hamstring strain
1336,11/13/2022,CLE,Jarrett Allen,Injury/Illness - Left Ankle; Soreness
1337,11/13/2022,CLE,Donovan Mitchell,Injury/Illness - Right Ankle; Strain
1338,11/13/2022,CLE,Isaiah Mobley,G League - Two-Way
1339,11/13/2022,CLE,Ricky Rubio,Injury/Illness - Left Knee; ACL Surgery
1340,11/13/2022,CLE,Dean Wade,Injury/Illness - Right Knee; Soreness
1341,11/13/2022,CLE,Dylan Windler,Injury/Illness - Right Ankle; Sprain
1342,11/13/2022,MIN,Josh Minott,G League - On Assignment
1343,11/13/2022,MIN,Wendell Moore Jr.,G League - On Assignment
1344,11/13/2022,MIN,Naz Reid,Injury/Illness - N/A; Illness
1345,11/13/2022,PHI,Julian Champagnie,G League - Two-Way
1346,11/13/2022,PHI,Michael Foster Jr.,G League - Two-Way
1347,11/13/2022,PHI,James Harden,Injury/Illness - Right Foot; Tendon Strain
1348,11/13/2022,PHI,Furkan Korkmaz,Injury/Illness - Left Knee; Effusion
1349,11/13/2022,UTA,Ochai Agbaji,G League - On Assignment
1350,11/13/2022,UTA,Leandro Bolmaro,G League - On Assignment
1351,11/13/2022,UTA,Johnny Juzang,G League - Two-Way
1352,11/13/2022,UTA,Micah Potter,G League - Two-Way
1353,11/13/2022,CHI,Kostas Antetokounmpo,G League - Two-Way
